#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
DN Gem   |1912|2419472|2419477| 3.6| 16| 35| 447|1395| |15.6|     | |P(35) |lc|Simbad|103.72646|+32.14111
DQ Her   |1934|2427786|2427794| 1.6| 76|100| 645|2010| |14.3|12000| |D(100)|lc|Simbad|271.87604|+45.85906
V446 Her |1960|2437003|2437004| 4.8| 20| 42| 197| 993| |16.1|     | |S(42) |lc|Simbad|284.33962|+13.24164
V533 Her |1963|2438056|2438061| 3.0| 30| 43| 238| 688| |15.0| 1800| |S(43) |lc|Simbad|273.58533|+41.85614
V827 Her |1987|2446820|2446831| 7.5| 21| 53| 394|    | |18.1|     | |S(53) |lc|Simbad|280.92746|+15.32192
V838 Her |1991|2448339|2448341| 5.3|  1|  4|  13|  40| |19.1|     | |P(4)  |lc|Simbad|281.63150|+12.23353
CP Lac   |1936|2428337|2428340| 2.0|  5|  9|  78| 436| |15.0| 4300| |S(9)  |lc|Simbad|333.92121|+55.61706
DK Lac   |1950|2433303|2433309| 5.9| 55|202| 488|    | |13.8| 2100| |J(202)|lc|Simbad|342.44546|+53.28869
LZ Mus   |1998|2451175|2451177| 8.5|  4| 12| 129|    |>|18.0|     | |P(12) |lc|Simbad|179.03733|-65.57242
BT Mon   |1939|2429516|2429518| 8.1|118|182| 610|    | |15.7| 5000| |F(182)|lc|Simbad|100.94683|-02.02053
IM Nor   |2002|2452264|2452289| 8.5| 50| 80| 253| 471| |18.3|  761| |P(80) |lc|Simbad|234.86027|-52.32166
RS Oph   |2006|2453778|2453779| 4.8|  7| 14|  88|    | |11.0|   93| |P(14) |lc|Simbad|267.55501|-06.70791
V849 Oph |1919|2422179|2422216| 7.6|140|270|2010|    | |18.8|     | |F(270)|lc|Simbad|273.52987|+11.61186
V2214 Oph|1988|2447248|2447262| 8.5| 60| 89| 777|    | |20.5|     | |S(89) |lc|Simbad|258.00658|-29.62592
V2264 Oph|1991|2448357|2448361|10.0| 22| 30|    |    |>|21.0|     | |S(30) |lc|Simbad|260.08679|-26.77397
V2295 Oph|1993|2449091|2449096| 9.3|  9| 16| 129|    |>|21.0|     | |F(16) |lc|Simbad|261.27671|-23.18642
V2313 Oph|1994|2449504|2449506| 7.5|  8| 17| 281|    |>|20.0|     | |S(17) |lc|Simbad|263.93587|-19.32614
V2487 Oph|1998|2450979|2450980| 9.5|  6|  8|  52|    | |17.7|     | |P(8)  |lc|Simbad|262.99917|-19.23222
V2540 Oph|2002|2452299|2452373| 8.1| 66|115|    |    |>|21.0|     | |J(115)|lc|Simbad|264.39337|-16.38831
GK Per   |1901|2415437|2415440| 0.2|  6| 13| 179| 444| |13.0|     | |O(13) |lc|Simbad|052.79925|+43.90467
RR Pic   |1925|2424298|2424309| 1.0| 73|122|1008|5805| |12.2|16000| |J(122)|lc|Simbad|098.90027|-62.64008
CP Pup   |1942|2430672|2430676| 0.7|  4|  8| 114| 748|>|19.5| 5600|a|P(8)  |lc|Simbad|122.94192|-35.35136
V351 Pup |1991|2448617|2448618| 6.4|  9| 26| 436|    | |19.6|     | |P(26) |lc|Simbad|122.90992|-35.12511
V445 Pup |2000|2451872|2451877| 8.6|215|240|    |    | |14.6|     | |D(240)|lc|Simbad|114.48708|-25.94969
V574 Pup |2004|2453330|2453331| 7.0| 12| 27| 199|    | |17.2|  840| |S(27) |lc|Simbad|115.47400|-27.11025
T Pyx    |1967|2439466|2439506| 6.4| 32| 62| 175|    | |15.5|  830| |P(62) |lc|Simbad|136.17292|-32.37986
HS Sge   |1977|2443149|2443151| 7.2| 15| 21| 537|    | |20.7|     | |P(21) |lc|Simbad|294.84175|+18.13164
V732 Sgr |1936|2428275|2428286| 6.4| 65| 75| 481|    |~|16.0|     | |D(75) |lc|Simbad|269.03129|-27.37114
V3890 Sgr|1990|2448007|2448009| 8.1|  6| 14|  28|    | |15.5|     | |S(14) |lc|Simbad|277.68033|-24.01914
V4021 Sgr|1977|2443229|2443234| 8.9| 56|215| 570|    | |18.0|     | |P(215)|lc|Simbad|279.55942|-23.37972
V4160 Sgr|1991|2448457|2448467| 7.0|  2|  3|  22|    |>|19.0|     | |S(3)  |lc|Simbad|273.55762|-32.20792
V4169 Sgr|1992|2448806|2448814| 7.9| 24| 36| 375|    |>|17.0|     | |S(36) |lc|Simbad|275.86225|-28.36658
V4444 Sgr|1999|2451293|2451295| 7.6|  5|  9|  61|    |>|21.0|     | |S(9)  |lc|Simbad|271.90083|-27.33700
V4633 Sgr|1998|2450893|2450896| 7.4| 17| 44| 601|    | |18.7| 3000|a|P(44) |lc|Simbad|275.41871|-27.52703
V4643 Sgr|2001|2451963|2451965| 7.7|  3|  6|  43|    |>|16.0|     | |S(6)  |lc|Simbad|268.66858|-26.23756
V4739 Sgr|2001|2452147|2452149| 7.2|  2|  3|  17|    |>|18.0|     | |S(3)  |lc|Simbad|276.19183|-30.01142
V4740 Sgr|2001|2452157|2452158| 6.7| 18| 33| 150|    |>|18.0|     | |S(33) |lc|Simbad|272.94092|-30.51386
V4742 Sgr|2002|2452531|2452534| 7.9|  9| 23| 250|    |>|18.0|     | |S(23) |lc|Simbad|270.59110|-25.34228
V4743 Sgr|2002|2452535|2452538| 5.0|  6| 12| 170| 680| |16.8|     | |S(12) |lc|Simbad|285.28908|-22.00164
V4745 Sgr|2003|2452738|2452743| 7.3| 79|190|    |    |>|17.0|     | |J(190)|lc|Simbad|280.01058|-33.44864
V5114 Sgr|2004|2453079|2453082| 8.1|  9| 21| 103|    |>|21.0|     | |S(21) |lc|Simbad|274.88454|-28.60992
V5115 Sgr|2005|2453456|2453460| 7.9|  7| 13| 134|    |>|18.0|     | |S(13) |lc|Simbad|274.24600|-25.94411
V5116 Sgr|2005|2453556|2453557| 7.6| 12| 26|    |    |>|16.0|     | |S(26) |lc|Simbad|274.46154|-30.44200
U Sco    |1999|2451235|2451235| 7.5|  1|  3|  11|    | |17.6|     | |P(3)  |lc|Simbad|245.62833|-17.87867
V992 Sco |1992|2448763|2448769| 7.7|100|120| 765|    | |17.2|     | |D(120)|lc|Simbad|256.82267|-43.25611
V1186 Sco|2004|2453188|2453205| 9.7| 12| 62|    |    |>|18.0|     | |J(62) |lc|Simbad|258.21337|-30.94367
V1187 Sco|2004|2453218|2453223| 9.8| 10| 17|    |    | |18.0|     | |S(17) |lc|Simbad|262.32837|-31.76708
V1188 Sco|2005|2453575|2453578| 8.9| 11| 23|  65|    |>|19.0|     | |S(23) |lc|Simbad|266.08996|-34.27658
V373 Sct |1975|2442529|2442543| 6.1| 47| 79| 237| 700|>|18.3|     | |J(79) |lc|Simbad|283.86129|-07.71819
V443 Sct |1989|2447777|2447787| 8.5| 33| 60|    |    |>|20.0|     | |J(60) |lc|Simbad|282.41229|-06.18775
FH Ser   |1970|2440630|2440634| 4.5| 49| 62| 410|1666| |16.8|     | |D(62) |lc|Simbad|277.69600|+02.61444
LW Ser   |1978|2443567|2443573| 8.3| 32| 52| 211|    | |19.4|     | |D(52) |lc|Simbad|267.96204|-14.73072
V382 Vel |1999|2451319|2451322| 2.8|  6| 13| 154| 542| |16.6|     | |S(13) |lc|Simbad|161.20162|-52.42519
LV Vul   |1968|2439960|2439964| 4.5| 20| 38| 280| 784| |15.3| 1500| |S(38) |lc|Simbad|297.00217|+27.17203
NQ Vul   |1976|2443072|2443085| 6.2| 21| 50| 365|1269| |17.2|     | |D(50) |lc|Simbad|292.31079|+20.46656
PW Vul   |1984|2445908|2445918| 6.4| 44|116| 474|1366| |16.9|     | |J(116)|lc|Simbad|291.52108|+27.36633
QU Vul   |1984|2446056|2446061| 5.3| 20| 36| 814|1445| |17.9|     | |P(36) |lc|Simbad|306.69142|+27.84506
QV Vul   |1987|2447116|2447127| 7.1| 37| 47| 388|    | |18.0|     | |D(47) |lc|Simbad|286.16800|+21.77061

#Table	J_AJ_140_34_table2:
#Name: J/AJ/140/34/table2
#Title: Binned light curves for 92 novae
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	JD	(F11.3)	Julian date of time bin middle	[ucd=time.epoch]
#Column	T	(F8.2)	Middle bin time minus the fiducial time (1)	[ucd=time.interval]
#Column	Vmag	(F5.2)	Binned and average V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	? The 1{sigma} error in Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	o_Vmag	(I4)	Number of observations in Vmag	[ucd=meta.number]
Nova|JD|T|Vmag|e_Vmag|o_Vmag
 |d|d|mag|mag|
---------|-----------|--------|-----|-----|----
OS And   |2446768.750|    0.75| 8.00| 0.15|   1
OS And   |2446769.750|    1.75| 7.50| 0.15|   1
OS And   |2446772.250|    4.25| 6.55| 0.11|   2
OS And   |2446773.250|    5.25| 6.55| 0.05|   8
OS And   |2446774.250|    6.25| 6.72| 0.06|  13
OS And   |2446774.750|    6.75| 6.87| 0.17|   3
OS And   |2446775.250|    7.25| 6.96| 0.06|  11
OS And   |2446775.750|    7.75| 7.30| 0.11|   2
OS And   |2446776.250|    8.25| 7.46| 0.07|   5
OS And   |2446776.750|    8.75| 7.43| 0.09|   3
OS And   |2446777.250|    9.25| 7.65| 0.11|   2
OS And   |2446777.750|    9.75| 7.65| 0.07|   6
OS And   |2446778.250|   10.25| 7.68| 0.09|   5
OS And   |2446778.750|   10.75| 7.85| 0.10|   8
OS And   |2446779.250|   11.25| 7.95| 0.09|  13
OS And   |2446779.750|   11.75| 7.94| 0.17|   5
OS And   |2446780.500|   12.50| 8.00| 0.07|   8
OS And   |2446781.500|   13.50| 8.06| 0.06|  14
OS And   |2446782.500|   14.50| 8.23| 0.08|   8
OS And   |2446783.500|   15.50| 8.42| 0.12|   6
OS And   |2446784.500|   16.50| 8.42| 0.07|  14
OS And   |2446785.500|   17.50| 8.62| 0.09|  15
OS And   |2446786.500|   18.50| 8.68| 0.10|  15
OS And   |2446787.500|   19.50| 8.75| 0.13|  17
OS And   |2446788.500|   20.50| 8.72| 0.10|   9
OS And   |2446789.500|   21.50| 8.94| 0.15|   8
OS And   |2446790.500|   22.50| 8.82| 0.19|   6
OS And   |2446791.500|   23.50| 9.18| 0.09|   5
OS And   |2446792.500|   24.50| 9.34| 0.07|  13
OS And   |2446793.500|   25.50| 9.66| 0.12|  11
OS And   |2446794.500|   26.50| 9.23| 0.06|   7
OS And   |2446795.500|   27.50| 9.44| 0.17|   5
OS And   |2446796.500|   28.50| 9.62| 0.09|  13
OS And   |2446797.500|   29.50|10.10| 0.21|   2
OS And   |2446798.500|   30.50|10.10| 0.23|   5
OS And   |2446799.500|   31.50|10.24| 0.13|  14
OS And   |2446800.500|   32.50|10.58| 0.14|   9
OS And   |2446801.500|   33.50|11.09| 0.07|   9
OS And   |2446802.500|   34.50|11.23| 0.18|   7
OS And   |2446803.500|   35.50|11.48| 0.12|   4
OS And   |2446804.500|   36.50|11.60| 0.10|   7
OS And   |2446805.500|   37.50|11.55| 0.18|   4
OS And   |2446806.500|   38.50|11.70| 0.21|   2
OS And   |2446807.500|   39.50|11.77| 0.06|   6
OS And   |2446808.500|   40.50|11.75| 0.18|   2
OS And   |2446809.500|   41.50|11.76| 0.11|   5
OS And   |2446811.000|   43.00|11.96| 0.11|   5
OS And   |2446813.000|   45.00|11.77| 0.06|  17
OS And   |2446815.000|   47.00|11.83| 0.09|   8
OS And   |2446817.000|   49.00|11.76| 0.06|  13
OS And   |2446819.000|   51.00|11.81| 0.09|   8
OS And   |2446821.000|   53.00|11.71| 0.09|  15
OS And   |2446823.000|   55.00|11.75| 0.07|  15
OS And   |2446825.000|   57.00|11.68| 0.06|  20
OS And   |2446827.000|   59.00|11.64| 0.05|  27
OS And   |2446829.000|   61.00|11.69| 0.09|  11
OS And   |2446831.000|   63.00|11.55| 0.13|   4
OS And   |2446833.000|   65.00|11.66| 0.10|   8
OS And   |2446835.000|   67.00|11.52| 0.10|  10
OS And   |2446837.000|   69.00|11.51| 0.13|   7
OS And   |2446839.000|   71.00|11.80| 0.11|   2
OS And   |2446841.000|   73.00|11.62| 0.08|   6
OS And   |2446843.000|   75.00|11.73| 0.09|   7
OS And   |2446845.000|   77.00|11.72| 0.06|   9
OS And   |2446847.000|   79.00|11.69| 0.08|  10
OS And   |2446849.000|   81.00|11.74| 0.06|  12
OS And   |2446852.000|   84.00|11.80| 0.04|  29
OS And   |2446856.000|   88.00|11.73| 0.09|   9
OS And   |2446860.000|   92.00|11.76| 0.07|  13
OS And   |2446864.000|   96.00|11.80| 0.09|   8
OS And   |2446868.000|  100.00|12.00| 0.10|   8
OS And   |2446872.000|  104.00|12.27| 0.10|   3
OS And   |2446876.000|  108.00|12.17| 0.09|   3
OS And   |2446880.000|  112.00|11.90| 0.15|   1
OS And   |2446884.000|  116.00|12.07| 0.21|   3
OS And   |2446888.000|  120.00|12.03| 0.13|   4
OS And   |2446892.000|  124.00|11.95| 0.13|   4
OS And   |2446896.000|  128.00|12.17| 0.06|   6
OS And   |2446904.000|  136.00|12.22| 0.08|   6
OS And   |2446908.000|  140.00|12.00| 0.28|   2
OS And   |2446912.000|  144.00|11.98| 0.12|   5
OS And   |2446916.000|  148.00|12.28| 0.13|   5
