#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:41:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57f093545a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/140/34/table1
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table1}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57f093545a&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-ignore=lc=*&lc=lc&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/140/34/table1
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|_RA|_DE
V1668 Cyg|1978|2443761|2443766| 6.2| 11| 26| 219| 948| |19.7|     | |S(26) |325.64675|+44.03192
V1819 Cyg|1986|2446645|2446648| 9.3| 95|181|1073|    | |17.0|     | |J(181)|298.65658|+35.70436
V1974 Cyg|1992|2448671|2448675| 4.3| 19| 43| 321| 847| |16.9| 4000|a|P(43) |307.63171|+52.63092
V2274 Cyg|2001|2452103|2452115|11.5| 22| 33| 200|    |>|20.0|     | |D(33) |301.82475|+36.07700
V2275 Cyg|2001|2452139|2452142| 6.9|  3|  8|  75| 472| |18.4|     | |S(8)  |315.75833|+48.76469
V2362 Cyg|2006|2453829|2453832| 8.1|  9|246| 312| 884|>|21.0|     | |C(246)|317.88477|+44.80102
V2467 Cyg|2007|2454174|2454175| 7.4|  8| 20| 207| 917|~|19.0|     | |O(20) |307.05217|+41.81014
V2491 Cyg|2008|2454567|2454568| 7.5|  4| 16|  38| 196|~|20.0|     | |C(16) |295.75817|+32.32050
HR Del   |1967|2439645|2439838| 3.6|167|231|1387|    | |12.1| 6000| |J(231)|310.58478|+19.16092
DN Gem   |1912|2419472|2419477| 3.6| 16| 35| 447|1395| |15.6|     | |P(35) |103.72646|+32.14111
DQ Her   |1934|2427786|2427794| 1.6| 76|100| 645|2010| |14.3|12000| |D(100)|271.87604|+45.85906
V446 Her |1960|2437003|2437004| 4.8| 20| 42| 197| 993| |16.1|     | |S(42) |284.33962|+13.24164
V533 Her |1963|2438056|2438061| 3.0| 30| 43| 238| 688| |15.0| 1800| |S(43) |273.58533|+41.85614
V827 Her |1987|2446820|2446831| 7.5| 21| 53| 394|    | |18.1|     | |S(53) |280.92746|+15.32192
V838 Her |1991|2448339|2448341| 5.3|  1|  4|  13|  40| |19.1|     | |P(4)  |281.63150|+12.23353
CP Lac   |1936|2428337|2428340| 2.0|  5|  9|  78| 436| |15.0| 4300| |S(9)  |333.92121|+55.61706
DK Lac   |1950|2433303|2433309| 5.9| 55|202| 488|    | |13.8| 2100| |J(202)|342.44546|+53.28869
LZ Mus   |1998|2451175|2451177| 8.5|  4| 12| 129|    |>|18.0|     | |P(12) |179.03733|-65.57242
BT Mon   |1939|2429516|2429518| 8.1|118|182| 610|    | |15.7| 5000| |F(182)|100.94683|-02.02053
IM Nor   |2002|2452264|2452289| 8.5| 50| 80| 253| 471| |18.3|  761| |P(80) |234.86027|-52.32166
RS Oph   |2006|2453778|2453779| 4.8|  7| 14|  88|    | |11.0|   93| |P(14) |267.55501|-06.70791
V849 Oph |1919|2422179|2422216| 7.6|140|270|2010|    | |18.8|     | |F(270)|273.52987|+11.61186
V2214 Oph|1988|2447248|2447262| 8.5| 60| 89| 777|    | |20.5|     | |S(89) |258.00658|-29.62592
V2264 Oph|1991|2448357|2448361|10.0| 22| 30|    |    |>|21.0|     | |S(30) |260.08679|-26.77397
V2295 Oph|1993|2449091|2449096| 9.3|  9| 16| 129|    |>|21.0|     | |F(16) |261.27671|-23.18642
V2313 Oph|1994|2449504|2449506| 7.5|  8| 17| 281|    |>|20.0|     | |S(17) |263.93587|-19.32614
V2487 Oph|1998|2450979|2450980| 9.5|  6|  8|  52|    | |17.7|     | |P(8)  |262.99917|-19.23222
V2540 Oph|2002|2452299|2452373| 8.1| 66|115|    |    |>|21.0|     | |J(115)|264.39337|-16.38831
GK Per   |1901|2415437|2415440| 0.2|  6| 13| 179| 444| |13.0|     | |O(13) |052.79925|+43.90467
RR Pic   |1925|2424298|2424309| 1.0| 73|122|1008|5805| |12.2|16000| |J(122)|098.90027|-62.64008
CP Pup   |1942|2430672|2430676| 0.7|  4|  8| 114| 748|>|19.5| 5600|a|P(8)  |122.94192|-35.35136
V351 Pup |1991|2448617|2448618| 6.4|  9| 26| 436|    | |19.6|     | |P(26) |122.90992|-35.12511
V445 Pup |2000|2451872|2451877| 8.6|215|240|    |    | |14.6|     | |D(240)|114.48708|-25.94969
V574 Pup |2004|2453330|2453331| 7.0| 12| 27| 199|    | |17.2|  840| |S(27) |115.47400|-27.11025
T Pyx    |1967|2439466|2439506| 6.4| 32| 62| 175|    | |15.5|  830| |P(62) |136.17292|-32.37986
HS Sge   |1977|2443149|2443151| 7.2| 15| 21| 537|    | |20.7|     | |P(21) |294.84175|+18.13164
V732 Sgr |1936|2428275|2428286| 6.4| 65| 75| 481|    |~|16.0|     | |D(75) |269.03129|-27.37114
V3890 Sgr|1990|2448007|2448009| 8.1|  6| 14|  28|    | |15.5|     | |S(14) |277.68033|-24.01914
V4021 Sgr|1977|2443229|2443234| 8.9| 56|215| 570|    | |18.0|     | |P(215)|279.55942|-23.37972
V4160 Sgr|1991|2448457|2448467| 7.0|  2|  3|  22|    |>|19.0|     | |S(3)  |273.55762|-32.20792
V4169 Sgr|1992|2448806|2448814| 7.9| 24| 36| 375|    |>|17.0|     | |S(36) |275.86225|-28.36658
V4444 Sgr|1999|2451293|2451295| 7.6|  5|  9|  61|    |>|21.0|     | |S(9)  |271.90083|-27.33700
V4633 Sgr|1998|2450893|2450896| 7.4| 17| 44| 601|    | |18.7| 3000|a|P(44) |275.41871|-27.52703
V4643 Sgr|2001|2451963|2451965| 7.7|  3|  6|  43|    |>|16.0|     | |S(6)  |268.66858|-26.23756
V4739 Sgr|2001|2452147|2452149| 7.2|  2|  3|  17|    |>|18.0|     | |S(3)  |276.19183|-30.01142
V4740 Sgr|2001|2452157|2452158| 6.7| 18| 33| 150|    |>|18.0|     | |S(33) |272.94092|-30.51386
V4742 Sgr|2002|2452531|2452534| 7.9|  9| 23| 250|    |>|18.0|     | |S(23) |270.59110|-25.34228
V4743 Sgr|2002|2452535|2452538| 5.0|  6| 12| 170| 680| |16.8|     | |S(12) |285.28908|-22.00164
V4745 Sgr|2003|2452738|2452743| 7.3| 79|190|    |    |>|17.0|     | |J(190)|280.01058|-33.44864
V5114 Sgr|2004|2453079|2453082| 8.1|  9| 21| 103|    |>|21.0|     | |S(21) |274.88454|-28.60992
V5115 Sgr|2005|2453456|2453460| 7.9|  7| 13| 134|    |>|18.0|     | |S(13) |274.24600|-25.94411
V5116 Sgr|2005|2453556|2453557| 7.6| 12| 26|    |    |>|16.0|     | |S(26) |274.46154|-30.44200
U Sco    |1999|2451235|2451235| 7.5|  1|  3|  11|    | |17.6|     | |P(3)  |245.62833|-17.87867
V992 Sco |1992|2448763|2448769| 7.7|100|120| 765|    | |17.2|     | |D(120)|256.82267|-43.25611
V1186 Sco|2004|2453188|2453205| 9.7| 12| 62|    |    |>|18.0|     | |J(62) |258.21337|-30.94367
V1187 Sco|2004|2453218|2453223| 9.8| 10| 17|    |    | |18.0|     | |S(17) |262.32837|-31.76708
V1188 Sco|2005|2453575|2453578| 8.9| 11| 23|  65|    |>|19.0|     | |S(23) |266.08996|-34.27658
V373 Sct |1975|2442529|2442543| 6.1| 47| 79| 237| 700|>|18.3|     | |J(79) |283.86129|-07.71819
V443 Sct |1989|2447777|2447787| 8.5| 33| 60|    |    |>|20.0|     | |J(60) |282.41229|-06.18775
FH Ser   |1970|2440630|2440634| 4.5| 49| 62| 410|1666| |16.8|     | |D(62) |277.69600|+02.61444
LW Ser   |1978|2443567|2443573| 8.3| 32| 52| 211|    | |19.4|     | |D(52) |267.96204|-14.73072
V382 Vel |1999|2451319|2451322| 2.8|  6| 13| 154| 542| |16.6|     | |S(13) |161.20162|-52.42519
LV Vul   |1968|2439960|2439964| 4.5| 20| 38| 280| 784| |15.3| 1500| |S(38) |297.00217|+27.17203
NQ Vul   |1976|2443072|2443085| 6.2| 21| 50| 365|1269| |17.2|     | |D(50) |292.31079|+20.46656
PW Vul   |1984|2445908|2445918| 6.4| 44|116| 474|1366| |16.9|     | |J(116)|291.52108|+27.36633
QU Vul   |1984|2446056|2446061| 5.3| 20| 36| 814|1445| |17.9|     | |P(36) |306.69142|+27.84506
QV Vul   |1987|2447116|2447127| 7.1| 37| 47| 388|    | |18.0|     | |D(47) |286.16800|+21.77061

